Sample,Order,number,,,,,,,,,
0450_GT_Met52_PRE_FO,coleoptera,6,,,,,,,,,
0451_GT_Met52_PRE_FI,hymenoptera,4,,,,,,,,,
0451_GT_Met52_PRE_FI,orthoptera,4,,,,,,,,,
0451_GT_Met52_PRE_FI,collembola,18,,,,,,,,,
0451_GT_Met52_PRE_FI,opilionidae,1,,,,,,,,,
0451_GT_Met52_PRE_FI,diptera,2,,,,,,,,,
0451_GT_Met52_PRE_FI,Oribatida,1,,,,,,,,,
0451_GT_Met52_PRE_FI,acari,1,,,,,,,,,
0452_GT_H2O_PRE_Lo,hemiptera,2,,,,,,,,,
0452_GT_H2O_PRE_Lo,Oribatida,2,,,,,,,,,
0452_GT_H2O_PRE_Lo,orthoptera,2,,,,,,,,,
0452_GT_H2O_PRE_Lo,collembola,1,,,,,,,,,
0452_GT_H2O_PRE_Lo,aranae,2,,,,,,,,,
0452_GT_H2O_PRE_Lo,acari,1,,,,,,,,,
0452_GT_H2O_PRE_Lo,hymenoptera,3,,,,,,,,,
0452_GT_H2O_PRE_Lo,coleoptera,1,,,,,,,,,
0452_GT_H2O_PRE_Lo,blattodea,1,,,,,,,,,
0453_GT_H2O_PRE_LI,aranae,5,,,,,,,,,
0453_GT_H2O_PRE_LI,coleoptera,2,,,,,,,,,
0453_GT_H2O_PRE_LI,hymenoptera,6,,,,,,,,,
0453_GT_H2O_PRE_LI,orthoptera,1,,,,,,,,,
0453_GT_H2O_PRE_LI,hemiptera,1,,,,,,,,,
0453_GT_H2O_PRE_LI,isopoda,3,,,,,,,,,
0453_GT_H2O_PRE_LI,collembola,4,,,,,,,,,
0454_GT_H2O_PRE_Fo,diptera,7,,,,,,,,,
0454_GT_H2O_PRE_Fo,hymenoptera,6,,,,,,,,,
0454_GT_H2O_PRE_Fo,collembola,7,,,,,,,,,
0454_GT_H2O_PRE_Fo,acari,2,,,,,,,,,
0454_GT_H2O_PRE_Fo,Oribatida,2,,,,,,,,,
0454_GT_H2O_PRE_Fo,hemiptera,1,,,,,,,,,
0454_GT_H2O_PRE_Fo,coleoptera,1,,,,,,,,,
0455_GT_H2O_PRE_Fi,pseudoscorpiionidae,1,,,,,,,,,
0455_GT_H2O_PRE_Fi,hymenoptera,9,,,,,,,,,
0455_GT_H2O_PRE_Fi,Oribatida,2,,,,,,,,,
0455_GT_H2O_PRE_Fi,isopoda,10,,,,,,,,,
0455_GT_H2O_PRE_Fi,hemiptera,1,,,,,,,,,
0455_GT_H2O_PRE_Fi,collembola,9,,,,,,,,,
0455_GT_H2O_PRE_Fi,orthoptera,1,,,,,,,,,
0455_GT_H2O_PRE_Fi,coleoptera,3,,,,,,,,,
0455_GT_H2O_PRE_Fi,acari,5,,,,,,,,,
0455_GT_H2O_PRE_Fi,aranae,1,,,,,,,,,
0455_GT_H2O_PRE_Fi,diptera,1,,,,,,,,,
0456_FS_Met52_PRE_LO,coleoptera,2,,,,,,,,,
0456_FS_Met52_PRE_LO,aranae,1,,,,,,,,,
0456_FS_Met52_PRE_LO,acari,4,,,,,,,,,
0456_FS_Met52_PRE_LO,collembola,4,,,,,,,,,
0457_FS_Met52_PRE_LI,isopoda,2,,,,,,,,,
0457_FS_Met52_PRE_LI,aranae,2,,,,,,,,,
0457_FS_Met52_PRE_LI,hymenoptera,1,,,,,,,,,
0457_FS_Met52_PRE_LI,lepidoptera,1,,,,,,,,,
0457_FS_Met52_PRE_LI,collembola,4,,,,,,,,,
0457_FS_Met52_PRE_LI,coleoptera,2,,,,,,,,,
0457_FS_Met52_PRE_LI,Oribatida,1,,,,,,,,,
0457_FS_Met52_PRE_LI,hemiptera,3,,,,,,,,,
0458_FS_Met52_PRE_FO,acari,1,,,,,,,,,
0458_FS_Met52_PRE_FO,collembola,10,,,,,,,,,
0458_FS_Met52_PRE_FO,hymenoptera,4,,,,,,,,,
0458_FS_Met52_PRE_FO,isopoda,3,,,,,,,,,
0458_FS_Met52_PRE_FO,siphonaptera,1,,,,,,,,,
0458_FS_Met52_PRE_FO,aranae,3,,,,,,,,,
0458_FS_Met52_PRE_FO,coleoptera,4,,,,,,,,,
0458_FS_Met52_PRE_FO,lepidoptera,1,,,,,,,,,
0458_FS_Met52_PRE_FO,diptera,2,,,,,,,,,
0459_FS_Met52_PRE_FI,orthoptera,1,,,,,,,,,
0459_FS_Met52_PRE_FI,coleoptera,3,,,,,,,,,
0459_FS_Met52_PRE_FI,collembola,1,,,,,,,,,
0460_FS_H20_PRE_LO,hymenoptera,5,,,,,,,,,
0460_FS_H20_PRE_LO,collembola,3,,,,,,,,,
0460_FS_H20_PRE_LO,diptera,1,,,,,,,,,
0460_FS_H20_PRE_LO,Oribatida,1,,,,,,,,,
0461_FS_H20_PRE_LI,acari,1,,,,,,,,,
0461_FS_H20_PRE_LI,microcoryphia,1,,,,,,,,,
0461_FS_H20_PRE_LI,collembola,11,,,,,,,,,
0461_FS_H20_PRE_LI,orthoptera,1,,,,,,,,,
0461_FS_H20_PRE_LI,acari,3,,,,,,,,,
0461_FS_H20_PRE_LI,hymenoptera,2,,,,,,,,,
0461_FS_H20_PRE_LI,isopoda,1,,,,,,,,,
0462_FS_H20_PRE_FO,orthoptera,1,,[sample spilled when going into vial- already processed inverts before spill.],,,,,,,
0462_FS_H20_PRE_FO,hymenoptera,2,,,,,,,,,
0462_FS_H20_PRE_FO,Oribatida,1,,,,,,,,,
