Sample,Order,number,,,,,,,,,
0495_FGL_Met52_POST_FO,diptera,11,,,,,,,,,
0495_FGL_Met52_POST_FO,hymenoptera,4,,,,,,,,,
0495_FGL_Met52_POST_FO,acari,3,,,,,,,,,
0495_FGL_Met52_POST_FO,collembola,5,,,,,,,,,
0495_FGL_Met52_POST_FO,pseudoscorpiionidae,1,,,,,,,,,
0495_FGL_Met52_POST_FO,opilionidae,1,,,,,,,,,
0495_FGL_Met52_POST_FO,mesostigmata,1,,,,,,,,,
0495_FGL_Met52_POST_FO,hemiptera,2,,,,,,,,,
0495_FGL_Met52_POST_FO,diplopoda,1,,,,,,,,,
0536_HGA_H20_POST_FI,isopoda,21,,,,,,,,,
0536_HGA_H20_POST_FI,hymenoptera,66,,,,,,,,,
0536_HGA_H20_POST_FI,collembola,7,,,,,,,,,
0536_HGA_H20_POST_FI,diptera,5,,,,,,,,,
0536_HGA_H20_POST_FI,acari,4,,,,,,,,,
0536_HGA_H20_POST_FI,aranae,8,,,,,,,,,
0536_HGA_H20_POST_FI,hemiptera,2,,,,,,,,,
0536_HGA_H20_POST_FI,coleoptera,1,,,,,,,,,
0537_HGA_H20_POST_LI,collembola,21,,,,,,,,,
0537_HGA_H20_POST_LI,diptera,1,,,,,,,,,
0537_HGA_H20_POST_LI,hymenoptera,14,,,,,,,,,
0537_HGA_H20_POST_LI,aranae,3,,,,,,,,,
0537_HGA_H20_POST_LI,hemiptera,1,,,,,,,,,
0537_HGA_H20_POST_LI,acari,2,,,,,,,,,
0538_HGA_H20_POST_FO,hymenoptera,65,,,,,,,,,
0538_HGA_H20_POST_FO,diptera,6,,,,,,,,,
0538_HGA_H20_POST_FO,coleoptera,1,,,,,,,,,
0538_HGA_H20_POST_FO,polydesmida,1,,,,,,,,,
0538_HGA_H20_POST_FO,thysanoptera,2,,,,,,,,,
0538_HGA_H20_POST_FO,opilionidae,1,,,,,,,,,
0538_HGA_H20_POST_FO,collembola,3,,,,,,,,,
0538_HGA_H20_POST_FO,aranae,1,,,,,,,,,
0538_HGA_H20_POST_FO,isopoda,1,,,,,,,,,
0539_HGA_H20_POST_LO,diptera,2,,,,,,,,,
0539_HGA_H20_POST_LO,hymenoptera,21,,,,,,,,,
0539_HGA_H20_POST_LO,isopoda,2,,,,,,,,,
0539_HGA_H20_POST_LO,collembola,18,,,,,,,,,
0539_HGA_H20_POST_LO,hemiptera,2,,,,,,,,,
0539_HGA_H20_POST_LO,aranae,4,,,,,,,,,
0539_HGA_H20_POST_LO,Oribatida,3,,,,,,,,,
0539_HGA_H20_POST_LO,lithobiomorpha,1,,,,,,,,,
0539_HGA_H20_POST_LO,coleoptera,1,,,,,,,,,
0540_HGA_Met52_POST_LO,collembola,28,,,,,,,,,
0540_HGA_Met52_POST_LO,aranae,3,,,,,,,,,
0540_HGA_Met52_POST_LO,isopoda,2,,,,,,,,,
0540_HGA_Met52_POST_LO,hymenoptera,5,,,,,,,,,
0540_HGA_Met52_POST_LO,Oribatida,1,,,,,,,,,
0540_HGA_Met52_POST_LO,diptera,2,,,,,,,,,
0540_HGA_Met52_POST_LO,coleoptera,3,,,,,,,,,
0540_HGA_Met52_POST_LO,acari,2,,,,,,,,,
0541_HGA_Met52_POST_Li,collembola,38,,,,,,,,,
0541_HGA_Met52_POST_Li,isopoda,9,,,,,,,,,
0541_HGA_Met52_POST_Li,Oribatida,8,,,,,,,,,
0541_HGA_Met52_POST_Li,diptera,3,,,,,,,,,
0541_HGA_Met52_POST_Li,coleoptera,1,,,,,,,,,
0541_HGA_Met52_POST_Li,thysanoptera,2,,,,,,,,,
0541_HGA_Met52_POST_Li,hymenoptera,9,,,,,,,,,
0541_HGA_Met52_POST_Li,aranae,1,,,,,,,,,
0541_HGA_Met52_POST_Li,hemiptera,2,,,,,,,,,
0541_HGA_Met52_POST_Li,chilopoda,1,,,,,,,,,
0542_HGA_Met52_POST_Fi,coleoptera,2,,,,,,,,,
0542_HGA_Met52_POST_Fi,collembola,33,,,,,,,,,
0542_HGA_Met52_POST_Fi,hymenoptera,100,,,,,,,,,
0542_HGA_Met52_POST_Fi,aranae,3,,,,,,,,,
0542_HGA_Met52_POST_Fi,diptera,4,,,,,,,,,
0542_HGA_Met52_POST_Fi,hemiptera,1,,,,,,,,,
0542_HGA_Met52_POST_Fi,Oribatida,3,,,,,,,,,
0542_HGA_Met52_POST_Fi,acari,1,,,,,,,,,
0542_HGA_Met52_POST_Fi,pseudoscorpiionidae,1,,,,,,,,,
0544_HFO_H2O_POST_LI,collembola,70,,,,,,,,,
0544_HFO_H2O_POST_LI,diptera,3,,,,,,,,,
0544_HFO_H2O_POST_LI,aranae,8,,,,,,,,,
0544_HFO_H2O_POST_LI,opilionidae,4,,,,,,,,,
0544_HFO_H2O_POST_LI,coleoptera,2,,,,,,,,,
0544_HFO_H2O_POST_LI,hymenoptera,6,,,,,,,,,
0544_HFO_H2O_POST_LI,lithobiomorpha,1,,,,,,,,,
0544_HFO_H2O_POST_LI,Oribatida,1,,,,,,,,,
0544_HFO_H2O_POST_LI,acari,2,,,,,,,,,
0545_HFO_H2O_POST_LO,diptera,2,,,,,,,,,
0545_HFO_H2O_POST_LO,collembola,6,,,,,,,,,
0545_HFO_H2O_POST_LO,hemiptera,1,,,,,,,,,
0545_HFO_H2O_POST_LO,coleoptera,1,,,,,,,,,
0545_HFO_H2O_POST_LO,hymenoptera,4,,,,,,,,,
0546_HFO_H2O_POST_FI,aranae,2,,,,,,,,,
0546_HFO_H2O_POST_FI,collembola,4,,,,,,,,,
0546_HFO_H2O_POST_FI,diptera,2,,,,,,,,,
0546_HFO_H2O_POST_FI,isopoda,2,,,,,,,,,
0546_HFO_H2O_POST_FI,Oribatida,1,,,,,,,,,
0546_HFO_H2O_POST_FI,coleoptera,3,,,,,,,,,
0547_HFO_H2O_POST_FO,isopoda,2,,,,,,,,,
0547_HFO_H2O_POST_FO,collembola,9,,,,,,,,,
0547_HFO_H2O_POST_FO,hymenoptera,5,,,,,,,,,
0547_HFO_H2O_POST_FO,pseudoscorpiionidae,1,,,,,,,,,
0547_HFO_H2O_POST_FO,diptera,3,,,,,,,,,
0547_HFO_H2O_POST_FO,coleoptera,3,,,,,,,,,
0547_HFO_H2O_POST_FO,Oribatida,4,,,,,,,,,
0547_HFO_H2O_POST_FO,aranae,1,,,,,,,,,
0547_HFO_H2O_POST_FO,acari,1,,,,,,,,,
0549_HFO_Met52_POST_FI,Oribatida,4,,,,,,,,,
0549_HFO_Met52_POST_FI,isopoda,8,,,,,,,,,
0549_HFO_Met52_POST_FI,acari,2,,,,,,,,,
0549_HFO_Met52_POST_FI,collembola,5,,,,,,,,,
0549_HFO_Met52_POST_FI,hemiptera,1,,,,,,,,,
0549_HFO_Met52_POST_FI,hymenoptera,1,,,,,,,,,
0549_HFO_Met52_POST_FI,pseudoscorpiionidae,1,,,,,,,,,
0549_HFO_Met52_POST_FI,diptera,2,,,,,,,,,
0550_HFO_Met52_POST_LO,hymenoptera,9,,,,,,,,,
0550_HFO_Met52_POST_LO,isopoda,6,,,,,,,,,
0550_HFO_Met52_POST_LO,diptera,2,,,,,,,,,
0550_HFO_Met52_POST_LO,aranae,2,,,,,,,,,
0550_HFO_Met52_POST_LO,opilionidae,1,,,,,,,,,
0550_HFO_Met52_POST_LO,acari,2,,,,,,,,,
0550_HFO_Met52_POST_LO,trombidiformes,1,,,,,,,,,
0550_HFO_Met52_POST_LO,collembola,1,,,,,,,,,
0550_HFO_Met52_POST_LO,coleoptera,2,,,,,,,,,
0550_HFO_Met52_POST_LO,Oribatida,1,,,,,,,,,
0550_HFO_Met52_POST_LO,neuroptera,1,,,,,,,,,
0551_HFO_Met52_POST_LI,hymenoptera,7,,,,,,,,,
0551_HFO_Met52_POST_LI,Oribatida,3,,,,,,,,,
0551_HFO_Met52_POST_LI,coleoptera,1,,,,,,,,,
0551_HFO_Met52_POST_LI,diptera,1,,,,,,,,,
0551_HFO_Met52_POST_LI,isopoda,2,,,,,,,,,
0551_HFO_Met52_POST_LI,acari,1,,,,,,,,,
0551_HFO_Met52_POST_LI,collembola,2,,,,,,,,,
0592_GT_Met52_POST_FI,isopoda,6,,,,,,,,,
0592_GT_Met52_POST_FI,collembola,8,,,,,,,,,
0592_GT_Met52_POST_FI,julida,1,,,,,,,,,
0592_GT_Met52_POST_FI,hymenoptera,11,,,,,,,,,
0592_GT_Met52_POST_FI,Oribatida,7,,,,,,,,,
0592_GT_Met52_POST_FI,acari,1,,,,,,,,,
0592_GT_Met52_POST_FI,coleoptera,2,,,,,,,,,
0592_GT_Met52_POST_FI,hemiptera,1,,,,,,,,,
0592_GT_Met52_POST_FI,diptera,2,,,,,,,,,
0592_GT_Met52_POST_FI,aranae,2,,,,,,,,,
0592_GT_Met52_POST_FI,pseudoscorpiionidae,1,,,,,,,,,
0594_GT_Met52_POST_LO,aranae,5,,,,,,,,,
0594_GT_Met52_POST_LO,coleoptera,5,,,,,,,,,
0594_GT_Met52_POST_LO,orthoptera,5,,,,,,,,,
0594_GT_Met52_POST_LO,hymenoptera,3,,,,,,,,,
0594_GT_Met52_POST_LO,Oribatida,1,,,,,,,,,
0594_GT_Met52_POST_LO,thysanoptera,1,,,,,,,,,
0594_GT_Met52_POST_LO,hemiptera,1,,,,,,,,,
0595_GT_Met52_POST_LI,hymenoptera,1,,,,,,,,,
0595_GT_Met52_POST_LI,collembola,1,,,,,,,,,
0595_GT_Met52_POST_LI,aranae,3,,,,,,,,,
0595_GT_Met52_POST_LI,diptera,1,,,,,,,,,
0595_GT_Met52_POST_LI,hemiptera,1,,,,,,,,,
0595_GT_Met52_POST_LI,orthoptera,1,,,,,,,,,
0596_GT_H20_POST_LI,diptera,3,,,,,,,,,
0596_GT_H20_POST_LI,isopoda,1,,,,,,,,,
0596_GT_H20_POST_LI,coleoptera,1,,,,,,,,,
0596_GT_H20_POST_LI,aranae,3,,,,,,,,,
0596_GT_H20_POST_LI,hymenoptera,4,,,,,,,,,
0596_GT_H20_POST_LI,Oribatida,2,,,,,,,,,
0596_GT_H20_POST_LI,collembola,2,,,,,,,,,
0596_GT_H20_POST_LI,Hemiptera,2,,,,,,,,,
0597_GT_H2O_POST_LO,aranae,3,,,,,,,,,
0597_GT_H2O_POST_LO,hymenoptera,4,,,,,,,,,
0597_GT_H2O_POST_LO,opilionidae,1,,,,,,,,,
0597_GT_H2O_POST_LO,diptera,3,,,,,,,,,
0597_GT_H2O_POST_LO,collembola,4,,,,,,,,,
0597_GT_H2O_POST_LO,trombidiformes,4,,,,,,,,,
0597_GT_H2O_POST_LO,Lepidoptera,1,,,,,,,,,
0598_GT_H20_POST_FI,Oribatida,5,,,,,,,,,
0598_GT_H20_POST_FI,hymenoptera,2,,,,,,,,,
0598_GT_H20_POST_FI,diptera,1,,,,,,,,,
0598_GT_H20_POST_FI,trombidiformes,4,,,,,,,,,
0598_GT_H20_POST_FI,opilionidae,1,,,,,,,,,
0598_GT_H20_POST_FI,collembola,2,,,,,,,,,
0598_GT_H20_POST_FI,isopoda,1,,,,,,,,,
0599_GT_H20_POST_FO,Collembola,2,,,,,,,,,
0599_GT_H20_POST_FO,hymenoptera,5,,,,,,,,,
0599_GT_H20_POST_FO,coleoptera,3,,,,,,,,,
0599_GT_H20_POST_FO,diptera,2,,,,,,,,,
0599_GT_H20_POST_FO,aranae,4,,,,,,,,,
0599_GT_H20_POST_FO,orthoptera,4,,,,,,,,,
0600_FS_Met52_POST_FO,aranae,3,,,,,,,,,
0600_FS_Met52_POST_FO,isopoda,3,,,,,,,,,
0600_FS_Met52_POST_FO,hymenoptera,1,,,,,,,,,
0600_FS_Met52_POST_FO,coleoptera,3,,,,,,,,,
0601_FS_Met52_POST_FI,aranae,2,,,,,,,,,
0601_FS_Met52_POST_FI,coleoptera,1,,,,,,,,,
0601_FS_Met52_POST_FI,collembola,3,,,,,,,,,
0602_FS_Met52_POST_LI,collembola,2,,,,,,,,,
0602_FS_Met52_POST_LI,Oribatida,5,,,,,,,,,
0602_FS_Met52_POST_LI,aranae,3,,,,,,,,,
0602_FS_Met52_POST_LI,lepidoptera,1,,,,,,,,,
0602_FS_Met52_POST_LI,diptera,3,,,,,,,,,
0602_FS_Met52_POST_LI,hymenoptera,1,,,,,,,,,
0602_FS_Met52_POST_LI,orthoptera,2,,,,,,,,,
0602_FS_Met52_POST_LI,coleoptera,1,,,,,,,,,
0602_FS_Met52_POST_LI,hemiptera,1,,,,,,,,,
0602_FS_Met52_POST_LI,opilionidae,1,,,,,,,,,
0603_FS_Met52_POST_LO,collembola,2,,,,,,,,,
0603_FS_Met52_POST_LO,Oribatida,3,,,,,,,,,
0603_FS_Met52_POST_LO,hymenoptera,3,,,,,,,,,
0603_FS_Met52_POST_LO,aranae,1,,,,,,,,,
0603_FS_Met52_POST_LO,coleoptera,1,,,,,,,,,
0604_FS_H2O_POST_FO,aranae,1,,,,,,,,,
0604_FS_H2O_POST_FO,hemiptera,1,,,,,,,,,
0604_FS_H2O_POST_FO,Oribatida,3,,,,,,,,,
0604_FS_H2O_POST_FO,hymenoptera,1,,,,,,,,,
0604_FS_H2O_POST_FO,collembola,1,,,,,,,,,
0604_FS_H2O_POST_FO,diptera,2,,,,,,,,,
0604_FS_H2O_POST_FO,thysanoptera,1,,,,,,,,,
0605_FS_H20_POST_FI,hemiptera,2,,,,,,,,,
0605_FS_H20_POST_FI,isopoda,1,,,,,,,,,
0605_FS_H20_POST_FI,orthoptera,4,,,,,,,,,
0605_FS_H20_POST_FI,hymenoptera,4,,,,,,,,,
0605_FS_H20_POST_FI,Oribatida,1,,,,,,,,,
0605_FS_H20_POST_FI,opilionidae,1,,,,,,,,,
0605_FS_H20_POST_FI,acari,1,,,,,,,,,
0605_FS_H20_POST_FI,coleoptera,2,,,,,,,,,
0605_FS_H20_POST_FI,aranae,23,,,,,,,,,
0606_FS_H20_POST_LO,hymenoptera,1,,,,,,,,,
0606_FS_H20_POST_LO,diptera,2,,,,,,,,,
0606_FS_H20_POST_LO,aranae,2,,,,,,,,,
0606_FS_H20_POST_LO,orthoptera,1,,,,,,,,,
0606_FS_H20_POST_LO,collembola,1,,,,,,,,,
0606_FS_H20_POST_LO,Oribatida,1,,,,,,,,,
0606_FS_H20_POST_LO,hemiptera,1,,,,,,,,,
0607_FS_H2O_POST_LI,Spirobolida,1,,,,,,,,,
0607_FS_H2O_POST_LI,acari,3,,,,,,,,,
0607_FS_H2O_POST_LI,diptera,1,,,,,,,,,
0607_FS_H2O_POST_LI,Oribatida,1,,,,,,,,,
0607_FS_H2O_POST_LI,coleoptera,2,,,,,,,,,
0607_FS_H2O_POST_LI,aranae,3,,,,,,,,,
0608_STKE_Met52_POST_FO,hymenoptera,2,,,,,,,,,
0608_STKE_Met52_POST_FO,isopoda,22,,,,,,,,,
0608_STKE_Met52_POST_FO,acari,2,,,,,,,,,
0608_STKE_Met52_POST_FO,coleoptera,1,,,,,,,,,
0608_STKE_Met52_POST_FO,aranae,30,,,,,,,,,
0608_STKE_Met52_POST_FO,collembola,2,,,,,,,,,
0608_STKE_Met52_POST_FO,polydesmida,1,,,,,,,,,
0609_STKE_Met52_POST_LI,coleoptera,1,,,,,,,,,
0609_STKE_Met52_POST_LI,acari,4,,,,,,,,,
0609_STKE_Met52_POST_LI,trombidiformes,7,,,,,,,,,
0609_STKE_Met52_POST_LI,opilionidae,2,,,,,,,,,
0609_STKE_Met52_POST_LI,aranae,1,,,,,,,,,
0609_STKE_Met52_POST_LI,hymenoptera,3,,,,,,,,,
0609_STKE_Met52_POST_LI,diptera,1,,,,,,,,,
0609_STKE_Met52_POST_LI,isopoda,1,,,,,,,,,
0609_STKE_Met52_POST_LI,collembola,1,,,,,,,,,
0609_STKE_Met52_POST_LI,hemiptera,3,,,,,,,,,
0610_STKE_Met52_POST_LO,acari,3,,,,,,,,,
0610_STKE_Met52_POST_LO,Oribatida,1,,,,,,,,,
0610_STKE_Met52_POST_LO,aranae,3,,,,,,,,,
0610_STKE_Met52_POST_LO,thysanoptera,1,,,,,,,,,
0610_STKE_Met52_POST_LO,hymenoptera,1,,,,,,,,,
0610_STKE_Met52_POST_LO,julida,1,,,,,,,,,
0610_STKE_Met52_POST_LO,Blattodea,1,,,,,,,,,
0610_STKE_Met52_POST_LO,collembola,3,,,,,,,,,
0611_STKE_Met52_POST_FI,collembola,3,,,,,,,,,
0611_STKE_Met52_POST_FI,microcoryphia,2,,,,,,,,,
0611_STKE_Met52_POST_FI,acari,2,,,,,,,,,
0611_STKE_Met52_POST_FI,thysanoptera,1,,,,,,,,,
0611_STKE_Met52_POST_FI,aranae,1,,,,,,,,,
0611_STKE_Met52_POST_FI,opilionidae,2,,,,,,,,,
0611_STKE_Met52_POST_FI,diptera,2,,,,,,,,,
0611_STKE_Met52_POST_FI,isopoda,3,,,,,,,,,
0611_STKE_Met52_POST_FI,hymenoptera,1,,,,,,,,,
0611_STKE_Met52_POST_FI,orthoptera,1,,,,,,,,,
0611_STKE_Met52_POST_FI,hemiptera,1,,,,,,,,,
0612_STKE_H2O_POST_FI,hemiptera,4,,,,,,,,,
0612_STKE_H2O_POST_FI,microcoryphia,4,,,,,,,,,
0612_STKE_H2O_POST_FI,hymenoptera,5,,,,,,,,,
0612_STKE_H2O_POST_FI,aranae,2,,,,,,,,,
0612_STKE_H2O_POST_FI,acari,2,,,,,,,,,
0612_STKE_H2O_POST_FI,coleoptera,1,,,,,,,,,
0612_STKE_H2O_POST_FI,isopoda,12,,,,,,,,,
0612_STKE_H2O_POST_FI,diptera,4,,,,,,,,,
0612_STKE_H2O_POST_FI,opilionidae,1,,,,,,,,,
0612_STKE_H2O_POST_FI,trombidiformes,12,,,,,,,,,
0612_STKE_H2O_POST_FI,collembola,1,,,,,,,,,
0613_STKE_H20_POST_LI,opilionidae,5,,,,,,,,,
0613_STKE_H20_POST_LI,trombidiformes,31,,,,,,,,,
0613_STKE_H20_POST_LI,acari,1,,,,,,,,,
0613_STKE_H20_POST_LI,lepidoptera,1,,,,,,,,,
0613_STKE_H20_POST_LI,orthoptera,2,,,,,,,,,
0613_STKE_H20_POST_LI,hymenoptera,11,,,,,,,,,
0613_STKE_H20_POST_LI,collembola,1,,,,,,,,,
0613_STKE_H20_POST_LI,diptera,1,,,,,,,,,
0613_STKE_H20_POST_LI,coleoptera,1,,,,,,,,,
0613_STKE_H20_POST_LI,hemiptera,1,,,,,,,,,
0613_STKE_H20_POST_LI,aranae,2,,,,,,,,,
0613_STKE_H20_POST_LI,thysanoptera,1,,,,,,,,,
0614_STKE_H2O_POST_LO, acari,3,,,,,,,,,
0614_STKE_H2O_POST_LO,trombidiformes,1,,,,,,,,,
0614_STKE_H2O_POST_LO,hymenoptera,14,,,,,,,,,
0614_STKE_H2O_POST_LO,orthoptera,3,,,,,,,,,
0614_STKE_H2O_POST_LO,hemiptera,1,,,,,,,,,
0614_STKE_H2O_POST_LO,Oribatida,2,,,,,,,,,
0614_STKE_H2O_POST_LO,collembola,6,,,,,,,,,
0614_STKE_H2O_POST_LO,aranae,1,,,,,,,,,
0615_STKE_H2O_POST_FO,collembola,4,,,,,,,,,
0615_STKE_H2O_POST_FO,isopoda,1,,,,,,,,,
0615_STKE_H2O_POST_FO,trombidiformes,6,,,,,,,,,
0615_STKE_H2O_POST_FO,opilionidae,2,,,,,,,,,
0615_STKE_H2O_POST_FO,hemiptera,2,,,,,,,,,
0615_STKE_H2O_POST_FO,aranae,1,,,,,,,,,
0615_STKE_H2O_POST_FO,coleoptera,1,,,,,,,,,
0616_STKW_Met52_POST_LO,isopoda,6,,,,,,,,,
0616_STKW_Met52_POST_LO,opilionidae,5,,,,,,,,,
0616_STKW_Met52_POST_LO,aranae,4,,,,,,,,,
0616_STKW_Met52_POST_LO,hymenoptera,6,,,,,,,,,
0616_STKW_Met52_POST_LO,collembola,6,,,,,,,,,
0616_STKW_Met52_POST_LO,Oribatida,6,,,,,,,,,
0616_STKW_Met52_POST_LO,acari,4,,,,,,,,,
0616_STKW_Met52_POST_LO,diptera,5,,,,,,,,,
0616_STKW_Met52_POST_LO,coleoptera,3,,,,,,,,,
0616_STKW_Met52_POST_LO,orthoptera,1,,,,,,,,,
0616_STKW_Met52_POST_LO,hemiptera,1,,,,,,,,,
0616_STKW_Met52_POST_LO,siphonaptera,1,,,,,,,,,
0617_STKW_Met52_POST_LI,hymenoptera,9,,,,,,,,,
0617_STKW_Met52_POST_LI,collembola,13,,,,,,,,,
0617_STKW_Met52_POST_LI,opilionidae,1,,,,,,,,,
0617_STKW_Met52_POST_LI,Oribatida,8,,,,,,,,,
0617_STKW_Met52_POST_LI,thysanoptera,1,,,,,,,,,
0617_STKW_Met52_POST_LI,aranae,5,,,,,,,,,
0617_STKW_Met52_POST_LI,hemiptera,6,,,,,,,,,
0617_STKW_Met52_POST_LI,isopoda,3,,,,,,,,,
0618_STKW_Met52_POST_FI,collembola,19,,,,,,,,,
0618_STKW_Met52_POST_FI,orthoptera,1,,,,,,,,,
0618_STKW_Met52_POST_FI,aranae,2,,,,,,,,,
0618_STKW_Met52_POST_FI,opilionidae,1,,,,,,,,,
0618_STKW_Met52_POST_FI,hemiptera,1,,,,,,,,,
0618_STKW_Met52_POST_FI,diptera,3,,,,,,,,,
0618_STKW_Met52_POST_FI,Oribatida,2,,,,,,,,,
0618_STKW_Met52_POST_FI,coleoptera,2,,,,,,,,,
0618_STKW_Met52_POST_FI,isopoda,2,,,,,,,,,
0619_STKW_Met52_POST_FO,hemiptera,10,,,,,,,,,
0619_STKW_Met52_POST_FO,diptera,15,,,,,,,,,
0619_STKW_Met52_POST_FO,collembola,49,,,,,,,,,
0619_STKW_Met52_POST_FO,isopoda,7,,,,,,,,,
0619_STKW_Met52_POST_FO,opilionidae,2,,,,,,,,,
0619_STKW_Met52_POST_FO,Oribatida,31,,,,,,,,,
0619_STKW_Met52_POST_FO,hymenoptera,8,,,,,,,,,
0619_STKW_Met52_POST_FO,acari,1,,,,,,,,,
0619_STKW_Met52_POST_FO,coleoptera,5,,,,,,,,,
0619_STKW_Met52_POST_FO,aranae,2,,,,,,,,,
0619_STKW_Met52_POST_FO,thysanoptera,2,,,,,,,,,
0620_STKW_H2O_POST_LI,isopoda,9,,,,,,,,,
0620_STKW_H2O_POST_LI,aranae,6,,,,,,,,,
0620_STKW_H2O_POST_LI,hymenoptera,8,,,,,,,,,
0620_STKW_H2O_POST_LI,opilionidae,4,,,,,,,,,
0620_STKW_H2O_POST_LI,Oribatida,20,,,,,,,,,
0620_STKW_H2O_POST_LI,diptera,6,,,,,,,,,
0620_STKW_H2O_POST_LI,hemiptera,6,,,,,,,,,
0620_STKW_H2O_POST_LI,thysanoptera,1,,,,,,,,,
0620_STKW_H2O_POST_LI,coleoptera,2,,,,,,,,,
0620_STKW_H2O_POST_LI,collembola,2,,,,,,,,,
0620_STKW_H2O_POST_LI,trombidiformes,1,,,,,,,,,
0620_STKW_H2O_POST_LI,microcoryphia,1,,,,,,,,,
0621_STKW_H20_POST_Fi,mesostigmata,1,,,,,,,,,
0621_STKW_H20_POST_Fi,isopoda,17,,,,,,,,,
0621_STKW_H20_POST_Fi,opilionidae,6,,,,,,,,,
0621_STKW_H20_POST_Fi,platydesmida,1,,,,,,,,,
0621_STKW_H20_POST_Fi,diptera,5,,,,,,,,,
0621_STKW_H20_POST_Fi,aranae,2,,,,,,,,,
0621_STKW_H20_POST_Fi,coleoptera,4,,,,,,,,,
0621_STKW_H20_POST_Fi,Oribatida,9,,,,,,,,,
0621_STKW_H20_POST_Fi,hymenoptera,6,,,,,,,,,
0621_STKW_H20_POST_Fi,collembola,12,,,,,,,,,
0622_STKW_H2O_POST_FO,collembola,26,,,,,,,,,
0622_STKW_H2O_POST_FO,aranae,1,,,,,,,,,
0622_STKW_H2O_POST_FO,diptera,10,,,,,,,,,
0622_STKW_H2O_POST_FO,opilionidae,1,,,,,,,,,
0622_STKW_H2O_POST_FO,orthoptera,1,,,,,,,,,
0622_STKW_H2O_POST_FO,Oribatida,4,,,,,,,,,
0622_STKW_H2O_POST_FO,isopoda,4,,,,,,,,,
0622_STKW_H2O_POST_FO,mesostigmata,1,,,,,,,,,
0622_STKW_H2O_POST_FO,coleoptera,3,,,,,,,,,
0622_STKW_H2O_POST_FO,hymenoptera,2,,,,,,,,,
0622_STKW_H2O_POST_FO,julida,1,,,,,,,,,
0623_STKW_H2O_POST_LO,platydesmida,1,,,,,,,,,
0623_STKW_H2O_POST_LO,hemiptera,5,,,,,,,,,
0623_STKW_H2O_POST_LO,diptera,5,,,,,,,,,
0623_STKW_H2O_POST_LO,hymenoptera,9,,,,,,,,,
0623_STKW_H2O_POST_LO,mesostigmata,21,,,,,,,,,
0623_STKW_H2O_POST_LO,Oribatida,6,,,,,,,,,
0623_STKW_H2O_POST_LO,opilionidae,5,,,,,,,,,
0623_STKW_H2O_POST_LO,isopoda,6,,,,,,,,,
0623_STKW_H2O_POST_LO,orthoptera,1,,,,,,,,,
0623_STKW_H2O_POST_LO,collembola,2,,,,,,,,,
0623_STKW_H2O_POST_LO,aranae,9,,,,,,,,,
0623_STKW_H2O_POST_LO,coleoptera,1,,,,,,,,,
0623_STKW_H2O_POST_LO,trombidiformes,2,,,,,,,,,
0648_AL_H2O_POST_LI,collembola,9,,,,,,,,,
0648_AL_H2O_POST_LI,acari,1,,,,,,,,,
0648_AL_H2O_POST_LI,diptera,2,,,,,,,,,
0648_AL_H2O_POST_LI,isopoda,4,,,,,,,,,
0648_AL_H2O_POST_LI,coleoptera,1,,,,,,,,,
0648_AL_H2O_POST_LI,aranae,1,,,,,,,,,
0648_AL_H2O_POST_LI,microcoryphia,1,,,,,,,,,
0648_AL_H2O_POST_LI,hemiptera,1,,,,,,,,,
0649_AL_H2O_POST_LO,collembola,6,,,,,,,,,
0649_AL_H2O_POST_LO,isopoda,9,,,,,,,,,
0649_AL_H2O_POST_LO,coleoptera,2,,,,,,,,,
0649_AL_H2O_POST_LO,opilionidae,2,,,,,,,,,
0649_AL_H2O_POST_LO,aranae,5,,,,,,,,,
0649_AL_H2O_POST_LO,trombidiformes,1,,,,,,,,,
0649_AL_H2O_POST_LO,hemiptera,6,,,,,,,,,
0649_AL_H2O_POST_LO,hymenoptera,1,,,,,,,,,
0650_AL_H20_POST_FI,coleoptera,5,,,,,,,,,
0650_AL_H20_POST_FI,acari,3,,,,,,,,,
0650_AL_H20_POST_FI,hemiptera,1,,,,,,,,,
0650_AL_H20_POST_FI,collembola,8,,,,,,,,,
0650_AL_H20_POST_FI,hymenoptera,3,,,,,,,,,
0650_AL_H20_POST_FI,aranae,1,,,,,,,,,
0650_AL_H20_POST_FI,isopoda,2,,,,,,,,,
0650_AL_H20_POST_FI,diptera,1,,,,,,,,,
0651_AL_H2O_POST_FO,collembola,14,,,,,,,,,
0651_AL_H2O_POST_FO,acari,6,,,,,,,,,
0651_AL_H2O_POST_FO,diptera,1,,,,,,,,,
0651_AL_H2O_POST_FO,isopoda,34,,,,,,,,,
0651_AL_H2O_POST_FO,coleoptera,1,,,,,,,,,
0651_AL_H2O_POST_FO,Oribatida,4,,,,,,,,,
0651_AL_H2O_POST_FO,pseudoscorpiionidae,1,,,,,,,,,
0652_AL_Met52_POST_LI,isopoda,2,,,,,,,,,
0652_AL_Met52_POST_LI,collembola,8,,,,,,,,,
0652_AL_Met52_POST_LI,coleoptera,1,,,,,,,,,
0652_AL_Met52_POST_LI,Oribatida,1,,,,,,,,,
0652_AL_Met52_POST_LI,hemiptera,2,,,,,,,,,
0652_AL_Met52_POST_LI,acari,2,,,,,,,,,
0653_AL_Met52_POST_FI,isopoda,3,,,,,,,,,
0653_AL_Met52_POST_FI,collembola,6,,,,,,,,,
